from,to,affiliation
lohuism,S65,1
lohuism,TTP,1
lohuism,ESA,1
lohuism,COA,1
lohuism,USCM,1
lohuism,NED,2
todorovam,RCC,1
todorovam,VLC,1
todorovam,VZR,1
todorovam,LCV,1
todorovam,SAP,1
todorovam,VCM,1
todorovam,BUL,2
kohnh,ULM,1
kohnh,OLYS,1
kohnh,BSPS,1
kohnh,GER,2
vandevyveri,AXK,1
vandevyveri,IBF,1
vandevyveri,CLJ,1
vandevyveri,RRV,1
vandevyveri,CST,1
vandevyveri,RCC,1
vandevyveri,BEL,2
nowiczkaj,GBL,1
nowiczkaj,PBB,1
nowiczkaj,KPB,1
nowiczkaj,SMS,1
nowiczkaj,POL,2
lees,KAF,1
lees,BEY,1
lees,IVC,1
lees,PSU,1
lees,USA,2
palleresm,BVM,1
palleresm,DSC,1
palleresm,BSB,1
palleresm,STM,1
palleresm,DIT,1
palleresm,GHO,1
palleresm,CVB,1
palleresm,ESP,2
jasperh,VCS,1
jasperh,SLT,1
jasperh,NED,2
dornheimh,BSPS,1
dornheimh,MTV2,1
dornheimh,GER,2
riversk,UOA,1
riversk,BZA,1
riversk,ZLB,1
riversk,USA,2
bergerl,FVT,1
bergerl,MTVB,1
bergerl,VCO,2
koskelor,OKN,1
koskelor,LPV,1
koskelor,LPK,1
koskelor,HML,1
koskelor,KIM,1
koskelor,SMP,1
koskelor,FIN,2
grundtl,MTVJ,1
grundtl,BSPS,1
grundtl,GER,2